epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,112.186,0.81009,0.75831,1.75788,0.95192,0,0.87107,0.77778,0.79964,0.47562,0.87107,0.77778,0.78116,0.58132,1.31022,1.95782,1.66349,1.2988,0,0.000773071,0.000773071,0.000773071
67,113.778,1.05596,1.26157,1.90409,1.00798,0,0.87107,0.77778,0.79964,0.47562,0.87107,0.77778,0.78116,0.58132,1.31022,1.95782,1.66349,1.2988,0,0.000759318,0.000759318,0.000759318
68,115.51,0.8408,0.78349,1.69856,0.98073,0,0.86234,0.77778,0.76439,0.48559,0.86234,0.77778,0.75485,0.56941,1.25563,1.9115,1.78787,1.28773,0,0.000745566,0.000745566,0.000745566
69,117.075,0.88469,0.80426,1.7479,0.97482,0,0.86234,0.77778,0.76439,0.48559,0.86234,0.77778,0.75485,0.56941,1.25563,1.9115,1.78787,1.28773,0,0.000731813,0.000731813,0.000731813
70,118.661,0.92961,1.03164,1.744,1.01076,0,0.76427,0.77778,0.72689,0.49154,0.76427,0.77778,0.71697,0.53593,1.25765,1.99499,1.74107,1.25599,0,0.00071806,0.00071806,0.00071806
71,120.251,0.80548,0.99241,1.69687,0.95767,0,0.76427,0.77778,0.72689,0.49154,0.76427,0.77778,0.71697,0.53593,1.25765,1.99499,1.74107,1.25599,0,0.000704307,0.000704307,0.000704307
72,121.844,0.83545,0.88494,1.68264,0.98305,0,0.77721,0.77551,0.7127,0.50807,0.77721,0.77551,0.71183,0.51439,1.32805,2.19657,1.82794,1.24088,0,0.000690555,0.000690555,0.000690555
73,123.422,0.85712,0.84596,1.6485,0.98412,0,0.77721,0.77551,0.7127,0.50807,0.77721,0.77551,0.71183,0.51439,1.32805,2.19657,1.82794,1.24088,0,0.000676802,0.000676802,0.000676802
74,125.06,0.85264,0.81046,1.68905,0.9867,0,0.77098,0.77778,0.70503,0.49745,0.77098,0.77778,0.70409,0.48496,1.37104,2.3954,1.82027,1.2473,0,0.000663049,0.000663049,0.000663049
75,126.626,0.83323,0.81226,1.64145,0.97204,0,0.77098,0.77778,0.70503,0.49745,0.77098,0.77778,0.70409,0.48496,1.37104,2.3954,1.82027,1.2473,0,0.000649297,0.000649297,0.000649297
